jobname = asp_decarb_n7_idpp_08
 4.4061435993  2.4038304886 -9.0926625747
 18.1437442736 -0.1405421413  11.3316449999
 15.6302978742  2.0715043298  11.5842478839
 16.1526651364 -2.1866250307  8.0061995564
 8.8663985005  0.8499869914  8.8923797545
 11.3677957181  1.5830825751  11.1656274339
 12.9251098073 -2.7236093888  4.9345760348
 9.7285104223 -1.6242348615  5.4750452220
 3.3663381917 -12.1704924940 -6.0778468989
 4.5204385182 -12.4669479508 -2.9692256772
 1.2947579980 -7.5520390937 -7.1124819040
 1.9195700184 -11.0051255601  0.2278574595
-2.1942753595 -4.8227088649 -5.5410096665
-1.6998351613 -8.4126221161  1.7504449850
-3.7630800416 -3.2436084732 -1.1508257410
 8.0121728794 -10.8412277189 -5.4864185545
 5.4176813658 -5.6598100340 -11.7721125436
 8.5950656584  7.7782123644 -4.6697622983
 0.8006365915  4.8619156610 -2.2239647134
-1.6652109720  6.7884762958 -1.0994472240
 2.2537320703  5.3908145691 -6.3470774566
 0.7064869379  7.2401235765 -8.5081883125
 1.4548390559  10.5685611370 -0.7948755455
-0.7332791256  6.4015823365  6.2637587968
 0.7414508263  9.0965669786  7.6966542102
 5.9565779846 -4.0673065859 -3.3427847541
 5.2232742765 -4.4592392603 -0.1169700181
 2.7590267968 -4.4113162245 -2.3944545688
 3.2878863964  2.2673578225  0.6633454199
 3.4985473373 -3.0616450839  2.7665222195
 1.7216059915 -0.5430185269  6.6213335286
 2.4177058181  2.2770915441  5.0003982240
-10.8155389312 -3.3799100842  6.5385245531
-12.6161380750 -4.2090920407  8.6117527070
 15.2580022340 -1.0687243442  12.8370819264
-6.9840493378 -12.5287361556  5.7904409230
 7.2664906676  9.6434327020 -7.1306108200
 5.1128980364 -8.5026900329 -13.5591590682
 9.2317415429  11.0664304906 -4.8366846237
 7.2162598379  3.3817635844 -7.4693478424
 5.4372660833 -1.8708188832 -6.4592990283
 2.6112521939  6.4834526843  6.6947825873
 7.0137391349 -8.3780008194 -3.4734483834
 5.4218431056 -10.9419794113 -9.7579437212
 0.4322440044  10.5252325961  3.4632953156
 5.3619771746  6.6012254205 -1.9552470762
-12.7454625236  2.5282204567  4.0997664997
 2.5248153174 -7.3846149660 -11.6647950273
-7.7543915686  10.3734232870  0.6721057075
-14.8781432952  6.3371932782  2.7103161611
 7.3100179981  0.7120919362 -9.5524781767

gradient_Eh_per_bohr:
-0.0016291666 -0.0040165420  0.0013424454
 0.0002003675  0.0001892360 -0.0000888836
 0.0002572901  0.0001165437 -0.0000834865
 0.0003263562 -0.0000295997  0.0000711743
 0.0002186671 -0.0001251454  0.0004751138
-0.0001479144  0.0001451315  0.0000816312
 0.0000642593 -0.0001496010 -0.0001623348
-0.0000337319 -0.0001334940 -0.0001419270
-0.0004035179  0.0001778515 -0.0001008584
-0.0003421258  0.0001899106  0.0001591303
-0.0001006897 -0.0000076740 -0.0000994248
 0.0005537935 -0.0002303889  0.0003730748
-0.0019825926  0.0025965975 -0.0014817581
-0.0002289553  0.0003696173  0.0000661145
-0.0002430384 -0.0000020239  0.0001255670
 0.0002086318  0.0000569226  0.0003828571
-0.0000721863 -0.0003284644  0.0002456526
-0.0003915431 -0.0005629011 -0.0005577570
-0.0001920189 -0.0003287174 -0.0006438577
-0.0001638527  0.0001953077 -0.0000796073
 0.0014257632  0.0017199054 -0.0027924112
 0.0035382236 -0.0009228205  0.0006246305
-0.0003623650 -0.0000820529 -0.0000857634
-0.0008922088  0.0004634763  0.0000774990
 0.0002822517  0.0002244858 -0.0003231516
-0.0002824204 -0.0002153782 -0.0003808332
 0.0008525738 -0.0005588533 -0.0043661731
 0.0000159383  0.0002264254  0.0002265941
 0.0000031202  0.0000935217 -0.0009164958
-0.0004486343  0.0000537181  0.0003875796
-0.0002451466  0.0004921485  0.0002388219
-0.0002295456  0.0005043763 -0.0000000843
-0.0003094902  0.0001858628  0.0001824053
 0.0000849201  0.0003292234 -0.0000876186
 0.0000854260 -0.0000014336  0.0002948168
 0.0001948017 -0.0001139295 -0.0001135079
 0.0002514713 -0.0003733278 -0.0002528206
 0.0004021686  0.0002335091  0.0003827728
-0.0004087463 -0.0022064881  0.0054709773
 0.0019800627  0.0007045751 -0.0041816596
-0.0009681056  0.0012625851  0.0003412825
 0.0010027651 -0.0015305851 -0.0000838238
 0.0000688131  0.0000417432 -0.0001894890
-0.0031798221 -0.0006572661  0.0115744277
-0.0004095896  0.0011202365 -0.0001241334
 0.0002743247 -0.0006932749  0.0000119748
-0.0001334940  0.0000909918  0.0002735657
 0.0000098666 -0.0004894499  0.0003081409
-0.0006249678  0.0006220163  0.0001570220
-0.0003758577 -0.0000801133  0.0001223625
-0.0000128181 -0.0002621812 -0.0001030510
 0.0012701748  0.0010747827 -0.0111658501
-0.0001474927  0.0001587929 -0.0001433606
-0.0005190497 -0.0001926092 -0.0003142970
 0.0004824505  0.0007153693  0.0005557331
 0.0001270006 -0.0007693404  0.0004393580
 0.0002866368 -0.0000080113  0.0006329792
-0.0008515619 -0.0005792611  0.0000281661
-0.0004266242 -0.0003696173 -0.0001360239
-0.0001178087 -0.0006727828 -0.0006866129
-0.0002316538  0.0002437130  0.0007699307
 0.0006190647  0.0005419030 -0.0000476463
 0.0000276602  0.0001766708  0.0011274045
-0.0000157697 -0.0004242630 -0.0003746771
-0.0004449238 -0.0001960667  0.0001409150
 0.0004499836  0.0000320453 -0.0002415204
-0.0001065085  0.0000586935  0.0001261573
-0.0000484053 -0.0000055658 -0.0000246243
 0.0000188055  0.0000288408 -0.0000947023
 0.0004016626 -0.0000281661 -0.0000134084
 0.0000773304 -0.0005582630 -0.0000449478
 0.0001053279 -0.0001024607 -0.0000623197
 0.0001666356  0.0001470711  0.0001851881
 0.0004601032 -0.0001895733  0.0000853417
 0.0004716563 -0.0005586846  0.0004549590
-0.0000285035  0.0001237961  0.0000110472
 0.0000231064  0.0001751529 -0.0000898955
 0.0000671265  0.0000126495  0.0001399874
-0.0000511038  0.0003059484 -0.0002147879
-0.0000829805 -0.0001512876 -0.0003660755
 0.0000483210 -0.0000809566  0.0001283499
-0.0011759785 -0.0000817999 -0.0005446859
 0.0002589767 -0.0000305274  0.0001773455
 0.0000412373  0.0002911063  0.0002862995
-0.0002833480  0.0003883385  0.0000475620
 0.0000143361  0.0000058188  0.0001078578
-0.0004722466  0.0001182303 -0.0002022228
 0.0002647954  0.0002394965  0.0006237872
 0.0001466494 -0.0008488633  0.0005128092
-0.0000341536  0.0003778816  0.0005224228
 0.0000774990 -0.0000232750  0.0000667048
 0.0001560944  0.0001173870  0.0002863839
-0.0000625727  0.0005322894 -0.0004569829
 0.0001786104 -0.0001117369  0.0004338766
 0.0000349125 -0.0000602114  0.0002540856
 0.0000190585 -0.0000123965 -0.0003993857
 0.0000730296  0.0000838238  0.0000247086
-0.0000360088 -0.0001517092  0.0000548987
-0.0001520466  0.0001673102 -0.0004017470
 0.0004186972 -0.0001668043  0.0002021384
-0.0000769087  0.0000797759 -0.0004068911
-0.0002271000  0.0002125953  0.0001490107
-0.0000768244 -0.0000023612  0.0000129868
-0.0000341536 -0.0003002983  0.0000301057
 0.0001006054  0.0000491642 -0.0002235582
 0.0000690661  0.0001382165  0.0001339157
 0.0000039635  0.0003387526  0.0006833240
 0.0004040239  0.0004870887 -0.0001223625
 0.0000727766 -0.0003675934 -0.0004076500
-0.0001622505  0.0002509654 -0.0000647653
-0.0001190736  0.0002764329  0.0001202542
 0.0000559950  0.0000146734 -0.0001583713
-0.0000325513  0.0000258049 -0.0000161913
 0.0002184141 -0.0002466645 -0.0003077193
 0.0000244556 -0.0001011957  0.0001646960
-0.0002374726 -0.0002752523 -0.0001063398
 0.0001586243  0.0002507124 -0.0004059634
-0.0003285487  0.0006436047  0.0000488269
-0.0001598049  0.0000257206 -0.0000805349
-0.0001271693 -0.0000418276  0.0000382014
 0.0003689427 -0.0002281963  0.0000142517
 0.0000226004  0.0001634311  0.0003186821
 0.0004865827 -0.0001711051 -0.0002403398
 0.0002604103  0.0005419030  0.0000420805
-0.0001991026  0.0002836853  0.0004631390
-0.0004448395  0.0002376413  0.0002141133
 0.0005212422 -0.0000235280  0.0003078879
-0.0000784267  0.0002824204 -0.0001247237
 0.0002065236 -0.0002706985  0.0007363674
 0.0001614072 -0.0004348886  0.0002156312
-0.0000392133  0.0000302744  0.0000289251
 0.0002505437  0.0000796073  0.0000578502
 0.0000900642 -0.0001120742 -0.0000645123
-0.0000631630  0.0003153090  0.0002628559
 0.0001359396 -0.0001895733 -0.0003013102

====================================================================================================
image 2/9
group_index = 1
combo_index = 2
gid         = 7
relax_tag   = 1of7
file_step   = 1
k_in_file   = 29
select_rank = 2
energy      = -1.2172278373014540

geometry_bohr:
-8.7072948491 -11.3891959951  5.8350470366
-8.7075172521 -8.8819503955  4.3745636465
-6.6627707940 -7.0686955667  5.3593355696
-6.5610818695 -4.6637536992  3.8120054481
-5.8478878982  9.5466563999  0.5746203419
-6.0673269191  6.8826974731 -0.3163894113
-6.4578504716  6.4259557136 -2.8929720926
-5.9008953590  4.8642693301  1.3738372007
-6.7430766999  3.9774323514 -3.7853595063
-6.1918582852  2.3946124520  0.5210090935
-6.6455829057  1.9818800725 -2.0500425722
-6.9987213927 -0.3690446233 -2.9928603174
-14.2941717928  4.9253007324  1.3029851017
-14.9767106005  5.1364825123 -0.8821375422
-13.2920612355  2.7061698512  2.1964128000
-12.8084015926  0.5807799194  0.4925391671
-11.0343349435 -1.2869598005  1.8014609550
-10.9183413976 -1.2614503772  4.1603093994
-9.7305597988 -2.7527822315  0.4863402887
 5.7197285457 -0.0481441420 -6.0496022672
 6.1415796910  1.7186340625 -8.1488694407
 16.0645504082  0.0493048402  11.2715888914
 15.0844802429 -1.2943542700  9.0452152607
 12.5102720726 -1.1554800789  8.4145031372
 10.8553450778  0.3728256011  9.5572931190
 11.6816739990 -2.6327692313  6.4696438640
 6.4127268916 -9.5430168713 -5.1173744681
 5.9252838713 -7.8845290520 -7.3711410064
 5.9723293197 -5.5787397988 -7.2939150339
 4.0286185726 -11.0597069329 -4.4132766515
 1.8547639836 -9.4248690906 -3.5946727129
 0.6525479765 -7.8009296706 -5.3013735233
 0.9566395636 -9.5848761656 -1.1149970072
-1.3832306709 -6.3236594675 -4.5602371694
-1.1257111498 -8.1798481756 -0.3444298442
-2.2742642661 -6.5434153263 -2.0774269297
-4.3714634825 -5.3034088812 -1.3191632041
 5.4325835117 -9.1021701666 -9.6140344587
 4.6018402795 -7.5883406848 -11.7583539223
 7.7625697286  9.6204200206 -5.1146308187
 5.5393311850  10.2240993850 -3.4293736680
 4.5843501935  12.3081293658 -3.3576446537
 4.6081104138  8.2933467239 -1.9131853243
 2.0935538905  8.5362426057 -0.7876093232
 2.1676822871  7.3525538871  1.8354051228
 3.0162540797  5.2430703027  2.2335304203
 0.0819860237  7.0425945925 -2.2754679487
-0.4507147280  8.3429037172 -4.7589193697
-1.9370844997  10.0659490727 -5.0114936775
 0.8776666669  7.4100649781 -6.8128496554
 1.1346733779  8.7802845399  3.7141018606
 0.9400764599  7.6547722030  6.2104865682
 4.9318165406 -3.5626718309 -1.7684162998
 4.4035516753 -0.8325343082 -1.5961625430
 5.0428268184  0.9218120015 -3.7809739987
 4.9451126747  3.2095328286 -3.4629707408
 3.3984138955  0.2015745314  0.4001682744
 2.4767624649 -1.2651340646  2.5568845267
 3.0079081010  0.1057788093  5.0166339841
 5.7037029583 -0.2886364789  5.8968338178
 7.1406082171 -1.6947413877  4.6513422348
 6.3756582407  0.8405834750  7.8896538149
-0.4999534326 -1.8188029251  2.0797004286
-1.0695835868 -1.7788192891 -0.1627863044
-11.5810389743 -4.9188675780  7.5919296868
-1.7018639766 -2.3720015437  3.9932062253
-10.1888312101 -12.6487659288  5.1221730511
-9.0800640620 -11.0815979400  7.8511907283
-10.6014853850 -7.9784134434  4.5565403701
-8.4496130254 -9.2419068812  2.3304152753
-7.0863734977 -6.5426057408  7.3589102410
-4.7718203717 -7.9719608780  5.3141560834
-6.7258485827 -5.0195015471  1.8839236143
-8.0775464013 -3.4618291530  4.2610374645
-4.8383187124 -3.6920106184  4.0578048166
-4.9631975224  9.7049490055  2.4360191404
-4.7402808007  10.7104534373 -0.7541132371
-6.5350763525  8.0176427550 -4.2036213345
-5.5561492138  5.2175274396  3.3685450071
-7.0808010381  3.5870885717 -5.7708866281
-6.0679511934  0.8081088980  1.8181003773
-8.0587904804 -1.4442652423 -1.7808927187
-14.6135521403 -0.3886391268 -0.0005229591
-11.9718997367  1.2432645068 -1.3273886763
 4.3249532445  2.5159013808 -8.8105740913
 18.1395165414 -0.2060859727  11.3607543379
 15.7257491837  2.1065693577  11.0802845935
 15.9786246433 -2.9471093128  8.6532020023
 8.8014927254  0.5915784195  8.7486476454
 11.3071207229  1.3254210826  11.1199919911
 12.9217684814 -3.4683487076  5.3175736576
 9.7801253537 -2.2999868337  5.7095022585
 3.4273565499 -12.2771120040 -6.0115249549
 4.5296747750 -12.4101021072 -2.8835548367
 1.3016098945 -7.6738614135 -7.2470904488
 1.8933605836 -10.8185323460  0.2404143776
-2.3037179090 -5.0356068817 -5.8727357217
-1.8551467237 -8.3056015412  1.5684057845
-4.2949210747 -3.4491245111 -1.8103584192
 8.0370050799 -10.8186027048 -5.4630320043
 5.4689901333 -5.6781367153 -11.6985795386
 8.6905099918  7.8203670311 -4.6871603795
 0.6544587059  5.0405445201 -2.5425158577
-1.7186829886  6.9221682211 -1.1785989779
 2.1944331295  6.0821447995 -6.5719961055
 0.7227041806  8.2341656333 -8.4994548834
 1.5572605586  10.6078111352 -0.7267690995
-0.6093569629  6.2472546045  6.2975688565
 0.6100074805  9.1029593160  7.6688716679
 6.1167605921 -4.1128088571 -3.3852890301
 5.9098062973 -4.2714977116 -0.0563347188
 3.1498758016 -4.6783116931 -1.9449068382
 3.0968060007  2.1601744693  0.5166361076
 3.3133272346 -3.2164795144  2.6096242187
 1.6694248568 -0.5887341998  6.4990135230
 2.5944878591  2.1722696984  4.9052254854
-11.1467037379 -3.5905207520  6.3821072912
-13.3702700145 -4.7966368937  7.7178577893
 15.2511543803 -0.6175814937  13.0725551657
-6.9008792189 -12.3794760941  5.6570474320
 7.1372475064  9.5804946177 -7.0969152553
 5.1943738839 -8.4874852397 -13.5460194056
 9.1940992026  11.1276988058 -4.9707221274
 7.3816497333  3.3001173808 -7.5746694046
 5.7878182072 -1.9269920289 -6.4503830359
 2.7060151463  6.6324906162  6.7139270083
 6.9813906997 -8.3531893068 -3.4749071281
 5.1114422481 -10.9747712153 -9.7086169083
 0.3214746499  10.4757226329  3.4155145009
 5.2734623688  6.5008471929 -2.0323756595
-12.5874840936  2.4937618772  3.9615461613
 2.5285725796 -7.3257440219 -11.7811296594
-7.7270569538  10.4292013770  0.7051040507
-14.4741164892  6.4485439657  2.7016023882
 7.0347314837  0.7125797489 -9.7416516034

gradient_Eh_per_bohr:
-0.0026021633 -0.0068717789  0.0022046328
-0.0001434449 -0.0000137458  0.0003548596
-0.0001447942  0.0001790321  0.0000483210
-0.0003017319  0.0002496161 -0.0000697407
-0.0005105323 -0.0010258715 -0.0009889351
-0.0000017709 -0.0000274072  0.0002298829
-0.0001839232  0.0001681535  0.0002260881
-0.0000425865 -0.0000464657  0.0002820830
 0.0000319610  0.0002906003  0.0000222631
 0.0000604644 -0.0000505135  0.0002108244
 0.0005290849  0.0001891516  0.0000319610
-0.0004278049  0.0002195104  0.0001575280
-0.0012404907  0.0020193603  0.0004223234
-0.0001027136 -0.0003177545  0.0000085173
-0.0004098426 -0.0002193417 -0.0002874801
-0.0005138212 -0.0002642895 -0.0001702618
 0.0000060717  0.0002087161  0.0004176010
-0.0016176977  0.0008788004 -0.0012592119
-0.0000317923  0.0003432221 -0.0008266846
 0.0008274436  0.0001357709  0.0001676476
 0.0009020754  0.0035636068 -0.0003003826
 0.0029005220  0.0007661358  0.0022952030
 0.0005088458 -0.0002087161 -0.0001905009
 0.0001970786 -0.0004220704  0.0005288319
 0.0002145349 -0.0006508571 -0.0003018162
 0.0000285878  0.0001000151 -0.0002141133
 0.0020552005  0.0008443939 -0.0061679627
-0.0006556639  0.0002271000 -0.0002269314
-0.0003639672 -0.0002039094  0.0000349125
 0.0002459899 -0.0001835015 -0.0004933291
-0.0001991026 -0.0004625487 -0.0003329339
-0.0000752221  0.0000363461  0.0000427552
 0.0000462970 -0.0001832486 -0.0001073518
-0.0002125953  0.0000086860 -0.0001985966
-0.0002984430 -0.0003530044 -0.0002651328
-0.0002330031 -0.0001978376 -0.0002630245
-0.0000408156  0.0001377948 -0.0003025752
-0.0004385147 -0.0002417734 -0.0003094902
-0.0002232209 -0.0031026604  0.0080649606
 0.0023482464  0.0002566998 -0.0041382298
-0.0005881157  0.0001745626  0.0004766318
 0.0000045538 -0.0000541397  0.0003363914
-0.0002427854 -0.0002419421  0.0006079332
-0.0017301093 -0.0028827284  0.0102926154
 0.0001130862 -0.0007372951  0.0008420326
 0.0000150950 -0.0000373581  0.0001340000
-0.0000500919 -0.0001057495 -0.0000474777
-0.0001725387 -0.0000682228  0.0000944493
-0.0000123965  0.0007738942  0.0000020239
-0.0001584556  0.0001797067  0.0001292775
-0.0001535645  0.0006263171  0.0003417885
 0.0011912421  0.0025861406 -0.0110662566
-0.0001181460 -0.0001635997 -0.0001146885
 0.0009369036 -0.0002588924 -0.0002435443
 0.0009496374  0.0003546910  0.0004762101
-0.0004009037 -0.0005254587  0.0001592989
 0.0000168660 -0.0000405626 -0.0002034877
 0.0005422403  0.0001194953 -0.0001033040
 0.0004294071  0.0004887753  0.0000936060
 0.0001754902  0.0004596815  0.0007285248
-0.0006329792 -0.0001036413 -0.0003610157
-0.0000646809  0.0001382165  0.0003987111
-0.0000240340  0.0010095958 -0.0010025965
 0.0006797822 -0.0010401232  0.0006029578
-0.0002810711  0.0000839081  0.0001900793
 0.0000522844 -0.0010037771  0.0010533630
-0.0001584556 -0.0000790170 -0.0001487577
-0.0000649339  0.0001014487  0.0003087312
-0.0004001447 -0.0002831793 -0.0002469175
-0.0003680994  0.0002617596  0.0003796526
-0.0003262718  0.0003979521  0.0000174563
-0.0000073367  0.0004100113 -0.0001544921
-0.0000339849  0.0004982202 -0.0000395507
-0.0004250220 -0.0001566847  0.0000174563
-0.0006233656  0.0007168873 -0.0001372045
 0.0000928471  0.0000243713 -0.0002688433
 0.0001264103  0.0001264103  0.0000979068
 0.0001310484  0.0003880855  0.0000834021
 0.0003096589  0.0004594285  0.0002028131
-0.0002895884  0.0001776828 -0.0002003675
-0.0001591303 -0.0001958980  0.0002927086
-0.0001713581  0.0002298829  0.0002769389
-0.0007722919 -0.0002696022  0.0003659068
 0.0005136525 -0.0005457822  0.0004068067
-0.0003028282 -0.0003109238 -0.0000104569
 0.0008047589  0.0002287866  0.0002697709
 0.0003158993  0.0007618350 -0.0000105412
-0.0000544770 -0.0007642806 -0.0004869200
-0.0001988496  0.0003299823 -0.0000235280
 0.0012069275 -0.0012049036 -0.0006317985
 0.0009322655  0.0003393429  0.0012317204
-0.0003524141 -0.0001592146  0.0000897269
-0.0000546457 -0.0004601875 -0.0004912208
-0.0002131013  0.0000746318  0.0001696715
 0.0001451315  0.0003148873  0.0002013795
 0.0004287325  0.0002705299  0.0004884379
-0.0002329188 -0.0002356173 -0.0003926393
-0.0003437281  0.0001621661 -0.0001415053
 0.0000161070 -0.0000549830 -0.0007194172
 0.0010231729 -0.0000159383  0.0001615758
 0.0004839685  0.0006001749  0.0001640214
 0.0007293681 -0.0001702618 -0.0005964644
-0.0006656991 -0.0006509414 -0.0003401862
 0.0000900642 -0.0001239647 -0.0001350963
 0.0000964732  0.0000546457  0.0001643587
-0.0000629943  0.0006813001  0.0001978376
-0.0003170799  0.0013539986  0.0004976299
 0.0000968106 -0.0006365210  0.0004204682
-0.0000339006 -0.0000016866  0.0006286783
-0.0002683373  0.0005050509  0.0004186972
-0.0002304732  0.0008279495 -0.0002622655
 0.0001417583 -0.0001103033  0.0005783335
 0.0000152637  0.0006536399 -0.0008256726
-0.0020356360 -0.0017391326 -0.0015687865
-0.0005829716  0.0001222781 -0.0003605097
-0.0004509112  0.0007032258 -0.0002408458
 0.0013145322  0.0002232209  0.0008664882
-0.0001745626 -0.0004327803 -0.0012318048
 0.0001918502  0.0001070145  0.0006070899
 0.0002334248  0.0000389603 -0.0001481674
-0.0000590308  0.0001254827 -0.0005182064
 0.0005342290 -0.0000919194 -0.0001861158
 0.0007047438  0.0005462038 -0.0004558867
 0.0002241485  0.0004631390 -0.0004601875
 0.0002348584  0.0001573593  0.0002159685
 0.0003126104 -0.0005373492  0.0002330031
 0.0000286721  0.0000836551  0.0010939256
-0.0005574197 -0.0003744241 -0.0006376173
-0.0008871490  0.0011620640 -0.0002285336
 0.0001157004 -0.0004896186 -0.0000591995
 0.0002293769  0.0002297986 -0.0007664732
-0.0002846973  0.0005678766 -0.0003284644
 0.0000016023  0.0000183839 -0.0000354185
 0.0003940730 -0.0004026746  0.0004501522
-0.0004149867 -0.0005149175 -0.0002610006

====================================================================================================
image 3/9
group_index = 2
combo_index = 1
gid         = 11
relax_tag   = 2of7
file_step   = 2
k_in_file   = 55
select_rank = 1
energy      = -1.2213664202350063

geometry_bohr:
-8.7072948543 -11.3891959404  5.8350468784
-8.8609352510 -8.9426840234  4.3172713779
-6.9331046669 -7.0766981049  5.4044500762
-7.0176936643 -4.5961189784  4.0075248290
-5.8478879126  9.5466564134  0.5746203227
-6.1253975014  6.8708474505 -0.3169424634
-6.3602154558  6.3653528924 -2.9116124586
-6.1379561031  4.8623214006  1.3902545760
-6.6490980485  3.9111093267 -3.7905558114
-6.4482693950  2.3805430332  0.5527184082
-6.7299096038  1.9377625843 -2.0321968014
-7.0506253819 -0.4348430228 -2.9656389408
-14.2941717200  4.9253005519  1.3029851431
-14.8417806919  5.0975337687 -0.9218398112
-13.3626230116  2.6955422815  2.2615767652
-12.8431872754  0.5989248088  0.5356521860
-11.1132064203 -1.3186620533  1.7956090994
-10.9631884416 -1.3620784998  4.1652813374
-9.8501367937 -2.7937744057  0.4440771683
 5.8448789347 -0.0515199551 -6.0631915987
 6.1415797125  1.7186340243 -8.1488694457
 16.0645503693  0.0493048361  11.2715888385
 15.0170557679 -1.5168412223  9.2462304230
 12.4094942038 -1.3929040388  8.7676502419
 10.8913992662  0.3357272157  9.8369301569
 11.4113019123 -3.0782468436  7.1214365153
 6.4127267608 -9.5430169687 -5.1173743701
 5.9931922033 -7.8848490545 -7.3819368432
 6.1281832583 -5.5862306989 -7.3295946438
 4.0164489450 -11.0107048331 -4.3620698987
 1.8982719837 -9.3267800907 -3.5065104599
 0.6581535055 -7.7322283087 -5.2119595061
 1.1155124163 -9.3854466372 -0.9847347006
-1.2913936328 -6.1549068596 -4.4192907370
-0.8443069225 -7.8461042775 -0.1464989463
-2.0262537567 -6.2461461615 -1.8878608848
-3.9017329780 -4.7703903849 -0.9331718983
 5.4676468999 -9.1021713220 -9.6229172435
 4.6018402873 -7.5883406072 -11.7583537964
 7.7625697256  9.6204200852 -5.1146309538
 5.6538425478  10.2601015386 -3.3050549681
 4.9400968289  12.4092882265 -2.9126117738
 4.5220732246  8.2432254940 -2.0807952572
 2.0935539068  8.5362427071 -0.7876091435
 2.3088103871  7.4038196339  1.8428595450
 3.2960306137  5.3651011521  2.2982927434
 0.0485411715  6.9584042264 -2.1444932695
-0.4660088780  8.0464756661 -4.7319263149
-2.0295326253  9.6864203422 -5.1360813649
 0.9521643041  7.0418130363 -6.6710377162
 1.1509579563  8.7682038586  3.7046888079
